AnnoA;AteneoNOME;AteneoCOD;SESSO;Isc
2011/2012;Foggia;7101;F;6619
2011/2012;Foggia;7101;M;3855
2011/2012;Genova;1001;F;20352
2011/2012;Genova;1001;M;15768
2011/2012;Insubria;1202;F;5058
2011/2012;Insubria;1202;M;3948
2011/2012;L'Aquila;6601;F;12963
2011/2012;L'Aquila;6601;M;10529
2011/2012;Macerata;4301;F;7791
2011/2012;Macerata;4301;M;3231
2011/2012;Marche;4201;F;7033
2011/2012;Marche;4201;M;9204
2011/2012;Messina;8301;F;19691
2011/2012;Messina;8301;M;11420
2011/2012;Milano;1501;F;35540
2011/2012;Milano;1501;M;24792
2011/2012;Milano Bicocca;1509;F;20315
2011/2012;Milano Bicocca;1509;M;12135
2011/2012;Milano Bocconi;1503;F;6452
2011/2012;Milano Bocconi;1503;M;6873
2011/2012;Milano Cattolica;1504;F;24681
2011/2012;Milano Cattolica;1504;M;13341
2011/2012;Milano IULM;1505;F;3042
2011/2012;Milano IULM;1505;M;1344
2011/2012;Milano Politecnico;1502;F;12953
2011/2012;Milano Politecnico;1502;M;25764
2011/2012;Milano San Raffaele;1508;F;1171
2011/2012;Milano San Raffaele;1508;M;799
2011/2012;Modena e Reggio Emilia;3601;F;10547
2011/2012;Modena e Reggio Emilia;3601;M;8886
2011/2012;Molise;7001;F;4599
2011/2012;Molise;7001;M;3172
2011/2012;Napoli Benincasa;6304;F;8321
2011/2012;Napoli Benincasa;6304;M;1471
2011/2012;Napoli Federico II;6301;F;49580
2011/2012;Napoli Federico II;6301;M;38019
2011/2012;Napoli L'Orientale;6303;F;8002
2011/2012;Napoli L'Orientale;6303;M;2228
2011/2012;Napoli Parthenope;6302;F;7299
2011/2012;Napoli Parthenope;6302;M;9073
2011/2012;Napoli Pegaso - telematica;6307;F;1408
2011/2012;Napoli Pegaso - telematica;6307;M;2243
2011/2012;Napoli Vanvitelli;6306;F;16819
2011/2012;Napoli Vanvitelli;6306;M;12160
2011/2012;Novedrate e-Campus - telematica;1301;F;2887
