_id,AnnoA,CorsoTIPO,ClasseNUMERO,ClasseNOME,SESSO,Isc
151,2022/2023,Laurea Magistrale - dm 270/04,LM-40,Matematica,F,666
152,2022/2023,Laurea Magistrale - dm 270/04,LM-54,Scienze chimiche,M,647
153,2022/2023,Laurea Magistrale a Ciclo Unico - dm 270/04,LM-46,Odontoiatria e protesi dentaria,F,637
154,2022/2023,Laurea Magistrale - dm 270/04,LM-22,Ingegneria chimica,M,610
155,2022/2023,Laurea - dm 270/04,L-34,Scienze geologiche,M,610
156,2022/2023,Laurea Magistrale - dm 270/04,LM-63,Scienze delle pubbliche amministrazioni,M,610
157,2022/2023,Laurea - dm 270/04,L/SNT4,Professioni sanitarie della prevenzione,F,594
158,2022/2023,Laurea Magistrale - dm 270/04,LM-62,Scienze della politica,M,592
159,2022/2023,Laurea - dm 270/04,L-23,Scienze e tecniche dell'edilizia,M,589
160,2022/2023,Laurea Magistrale - dm 270/04,LM-28,Ingegneria elettrica,M,581
161,2022/2023,Laurea Magistrale - dm 270/04,LM-81,Scienze per la cooperazione allo sviluppo,F,561
162,2022/2023,Laurea Magistrale - dm 270/04,LM-02,Archeologia,F,549
163,2022/2023,Laurea Magistrale - dm 270/04,LM-35,Ingegneria per l'ambiente e il territorio,M,544
164,2022/2023,Laurea Magistrale - dm 270/04,LM-70,Scienze e tecnologie alimentari,F,543
165,2022/2023,Laurea Magistrale - dm 270/04,LM-91,Tecniche e metodi per la societa dell'informazione,M,540
166,2022/2023,Laurea Magistrale - dm 270/04,LM-27,Ingegneria delle telecomunicazioni,M,533
167,2022/2023,Laurea Magistrale - dm 270/04,LM-39,Linguistica,M,525
168,2022/2023,Laurea Magistrale a Ciclo Unico - dm 270/04,LM-46,Odontoiatria e protesi dentaria,M,522
169,2022/2023,Laurea Magistrale - dm 270/04,LM-12,Design,M,515
170,2022/2023,Laurea - dm 270/04,L/GASTR,"Scienze, culture e politiche della gastronomia",M,514
171,2022/2023,Laurea Magistrale - dm 270/04,LM-44,Modellistica matematico-fisica per l'ingegneria,M,512
172,2022/2023,Laurea Magistrale - dm 270/04,LM/SNT2,Scienze riabilitative delle professioni sanitarie,F,495
173,2022/2023,Laurea - dm 270/04,L-29,Scienze e tecnologie farmaceutiche,M,485
174,2022/2023,Laurea Magistrale - dm 270/04,LM-37,Lingue e letterature moderne europee e americane,M,481
175,2022/2023,Laurea Magistrale - dm 270/04,LM-33,Ingegneria meccanica,F,476
176,2022/2023,Laurea Magistrale - dm 270/04,LM-17,Fisica,F,468
177,2022/2023,Laurea Magistrale - dm 270/04,LM-23,Ingegneria civile,F,467
178,2022/2023,Laurea Magistrale a Ciclo Unico - dm 270/04,LM-85 bis,Scienze della formazione primaria,M,459
179,2022/2023,Laurea Magistrale - dm 270/04,LM-22,Ingegneria chimica,F,449
180,2022/2023,Laurea Magistrale - dm 270/04,LM/SNT1,Scienze infermieristiche e ostetriche,M,445
181,2022/2023,Laurea Magistrale - dm 270/04,LM-15,"Filologia, letterature e storia dell'antichità",F,435
182,2022/2023,Laurea Magistrale - dm 270/04,LM-70,Scienze e tecnologie alimentari,M,435
183,2022/2023,Laurea - dm 270/04,L/SNT4,Professioni sanitarie della prevenzione,M,433
184,2022/2023,Laurea Magistrale - dm 270/04,LM-65,Scienze dello spettacolo e produzione multimediale,M,427
185,2022/2023,Laurea Magistrale - dm 270/04,LM-82,Scienze statistiche,M,425
186,2022/2023,Laurea Magistrale - dm 270/04,LM-08,Biotecnologie industriali,F,422
187,2022/2023,Laurea - dm 270/04,L/GASTR,"Scienze, culture e politiche della gastronomia",F,421
188,2022/2023,Laurea Magistrale - dm 270/04,LM-85,Scienze pedagogiche,M,409
189,2022/2023,Laurea - dm 270/04,L-23,Scienze e tecniche dell'edilizia,F,407
190,2022/2023,Laurea Magistrale - dm 270/04,LM-01,Antropologia culturale ed etnologia,F,399
191,2022/2023,Laurea Magistrale - dm 270/04,LM-91,Tecniche e metodi per la societa dell'informazione,F,390
192,2022/2023,Laurea Magistrale - dm 270/04,LM-76,Scienze economiche per l'ambiente e la cultura,F,389
193,2022/2023,Laurea Magistrale - dm 270/04,LM-35,Ingegneria per l'ambiente e il territorio,F,388
194,2022/2023,Laurea - dm 270/04,L-38,Scienze zootecniche e tecnologie delle produzioni animali,M,386
195,2022/2023,Laurea Magistrale - dm 270/04,LM-57,Scienze dell'educazione degli adulti e della formazione continua,F,381
196,2022/2023,Laurea Magistrale - dm 270/04,LM-16,Finanza,F,373
197,2022/2023,Laurea Magistrale - dm 270/04,LM-24,Ingegneria dei sistemi edilizi,M,370
198,2022/2023,Laurea Magistrale - dm 270/04,LM/SC-GIUR,Scienze Giuridiche,F,369
199,2022/2023,Laurea Magistrale - dm 270/04,LM-18,Informatica,F,366
200,2022/2023,Laurea - dm 270/04,L-39,Servizio sociale,M,362
201,2022/2023,Laurea Magistrale - dm 270/04,LM-90,Studi europei,F,361
202,2022/2023,Laurea - dm 270/04,L-37,"Scienze sociali per la cooperazione, lo sviluppo e la pace",F,356
203,2022/2023,Laurea Magistrale - dm 270/04,LM-30,Ingegneria energetica e nucleare,F,346
204,2022/2023,Laurea Magistrale - dm 270/04,LM-75,Scienze e tecnologie per l'ambiente e il territorio,F,341
205,2022/2023,Laurea Magistrale - dm 270/04,LM-89,Storia dell'arte,M,335
206,2022/2023,Laurea Magistrale - dm 270/04,LM-82,Scienze statistiche,F,325
207,2022/2023,Laurea - dm 270/04,L/DS,Scienze della difesa e della sicurezza,M,324
208,2022/2023,Laurea Magistrale - dm 270/04,LM-88,Sociologia e ricerca sociale,M,318
209,2022/2023,Laurea Magistrale - dm 270/04,LM-69,Scienze e tecnologie agrarie,F,316
210,2022/2023,Laurea Magistrale - dm 270/04,LM-68,Scienze e tecniche dello sport,F,313
211,2022/2023,Laurea Magistrale - dm 270/04,LM-74,Scienze e tecnologie geologiche,M,311
212,2022/2023,Laurea Magistrale - dm 270/04,LM-20,Ingegneria aerospaziale e astronautica,F,310
213,2022/2023,Laurea Magistrale - dm 270/04,LM-38,Lingue moderne per la comunicazione e la cooperazione internazionale,M,305
214,2022/2023,Laurea Magistrale - dm 270/04,LM-08,Biotecnologie industriali,M,297
215,2022/2023,Laurea Magistrale - dm 270/04,LM/SNT3,Scienze delle professioni sanitarie tecniche,F,290
216,2022/2023,Laurea Magistrale - dm 270/04,LM-02,Archeologia,M,289
217,2022/2023,Laurea Magistrale - dm 270/04,LM-49,Progettazione e gestione dei sistemi turistici,M,286
218,2022/2023,Laurea - dm 270/04,L-21,"Scienze della pianificazione territoriale, urbanistica, paesaggistica e ambientale",M,285
219,2022/2023,Laurea Magistrale - dm 270/04,LM/DS,Scienze della difesa e della sicurezza,M,282
220,2022/2023,Laurea Magistrale - dm 270/04,LM-19,Informazione e sistemi editoriali,M,275
221,2022/2023,Laurea Magistrale - dm 270/04,LM-75,Scienze e tecnologie per l'ambiente e il territorio,M,275
222,2022/2023,Laurea Magistrale - dm 270/04,LM-26,Ingegneria della sicurezza,F,274
223,2022/2023,Laurea - dm 270/04,L-34,Scienze geologiche,F,272
224,2022/2023,Laurea Magistrale - dm 270/04,LM-24,Ingegneria dei sistemi edilizi,F,267
225,2022/2023,Laurea - dm 270/04,L-21,"Scienze della pianificazione territoriale, urbanistica, paesaggistica e ambientale",F,265
226,2022/2023,Laurea Magistrale - dm 270/04,LM-53ante21,Scienza e ingegneria dei materiali,M,263
227,2022/2023,Laurea Magistrale - dm 270/04,LM-36,Lingue e letterature dell'Africa e dell'Asia,F,261
228,2022/2023,Laurea Magistrale - dm 270/04,LM-66,Sicurezza informatica,M,256
229,2022/2023,Laurea Magistrale - dm 270/04,LM-Data,Data Science,M,254
230,2022/2023,Laurea Magistrale a Ciclo Unico - dm 270/04,LM-42,Medicina veterinaria,M,253
231,2022/2023,Laurea Magistrale - dm 270/04,LM-92,Teorie della comunicazione,M,251
232,2022/2023,Laurea - dm 270/04,L-28,Scienze e tecnologie della navigazione,M,247
233,2022/2023,Laurea Magistrale - dm 270/04,LM-29,Ingegneria elettronica,F,246
234,2022/2023,Laurea Magistrale - dm 270/04,LM-27,Ingegneria delle telecomunicazioni,F,239
235,2022/2023,Laurea Magistrale - dm 270/04,LM-60,Scienze della natura,F,238
236,2022/2023,Laurea Magistrale - dm 270/04,LM-71,Scienze e tecnologie della chimica industriale,M,235
237,2022/2023,Laurea Magistrale - dm 270/04,LM-86,Scienze zootecniche e tecnologie  animali,F,231
238,2022/2023,Laurea Magistrale - dm 270/04,LM-44,Modellistica matematico-fisica per l'ingegneria,F,230
239,2022/2023,Laurea Magistrale - dm 270/04,LM-71,Scienze e tecnologie della chimica industriale,F,226
240,2022/2023,Laurea - dm 270/04,L-P01,Professioni tecniche per l'edilizia e il territorio,M,226
241,2022/2023,Laurea - dm 270/04,L-P03,Professioni tecniche industriali e dellinformazione,M,226
242,2022/2023,Laurea Magistrale - dm 270/04,LM-90,Studi europei,M,223
243,2022/2023,Laurea Magistrale - dm 270/04,LM-43,Metodologie informatiche per le discipline umanistiche,F,223
244,2022/2023,Laurea Magistrale - dm 270/04,LM-25,Ingegneria dell'automazione,F,213
245,2022/2023,Laurea Magistrale - dm 270/04,LM-81,Scienze per la cooperazione allo sviluppo,M,213
246,2022/2023,Laurea Magistrale - dm 270/04,LM-15,"Filologia, letterature e storia dell'antichità",M,210
247,2022/2023,Laurea Magistrale - dm 270/04,LM/SNT3,Scienze delle professioni sanitarie tecniche,M,197
248,2022/2023,Laurea Magistrale - dm 270/04,LM-48,Pianificazione territoriale urbanistica e ambientale,F,191
249,2022/2023,Laurea Magistrale - dm 270/04,LM-60,Scienze della natura,M,190
250,2022/2023,Laurea Magistrale - dm 270/04,LM-55,Scienze cognitive,F,189
251,2022/2023,Laurea Magistrale - dm 270/04,LM/SC-GIUR,Scienze Giuridiche,M,185
252,2022/2023,Laurea Magistrale - dm 270/04,LM-53ante21,Scienza e ingegneria dei materiali,F,184
253,2022/2023,Laurea - dm 270/04,L-37,"Scienze sociali per la cooperazione, lo sviluppo e la pace",M,184
254,2022/2023,Laurea Magistrale - dm 270/04,LM-73,Scienze e tecnologie forestali ed ambientali,M,180
255,2022/2023,Laurea Magistrale - dm 270/04,LM/SNT2,Scienze riabilitative delle professioni sanitarie,M,175
256,2022/2023,Laurea Magistrale - dm 270/04,LM-74,Scienze e tecnologie geologiche,F,174
257,2022/2023,Laurea Magistrale - dm 270/04,LM-76,Scienze economiche per l'ambiente e la cultura,M,168
258,2022/2023,Laurea Magistrale - dm 270/04,LM-03,Architettura del paesaggio,F,166
259,2022/2023,Laurea Magistrale - dm 270/04,LM-07,Biotecnologie agrarie,F,163
260,2022/2023,Laurea Magistrale - dm 270/04,LM-01,Antropologia culturale ed etnologia,M,161
261,2022/2023,Laurea Magistrale - dm 270/04,LM-05,Archivistica e biblioteconomia,F,154
262,2022/2023,Laurea Magistrale - dm 270/04,LM-48,Pianificazione territoriale urbanistica e ambientale,M,152
263,2022/2023,Laurea Magistrale - dm 270/04,LM-53,Ingegneria dei materiali,M,149
264,2022/2023,Laurea Magistrale - dm 270/04,LM/SNT4,Scienze delle professioni sanitarie della prevenzione,F,149
265,2022/2023,Laurea Magistrale - dm 270/04,LM-94,Traduzione specialistica e interpretariato,M,145
266,2022/2023,Laurea Magistrale - dm 270/04,LM-93,Teorie e metodologie dell'e-learning e della media education,F,140
267,2022/2023,Laurea Magistrale - dm 270/04,LM-83,Scienze statistiche attuariali e finanziarie,M,138
268,2022/2023,Laurea Magistrale - dm 270/04,LM-87,Servizio sociale e politiche sociali,M,130
269,2022/2023,Laurea Magistrale - dm 270/04,LM-86,Scienze zootecniche e tecnologie  animali,M,129
270,2022/2023,Laurea - dm 270/04,L-P02,"Professioni tecniche agrarie, alimentari e forestali",M,128
271,2022/2023,Laurea Magistrale - dm 270/04,LM-45,Musicologia e beni musicali,F,124
272,2022/2023,Laurea Magistrale - dm 270/04,LM-Data,Data Science,F,119
273,2022/2023,Laurea Magistrale - dm 270/04,LM-73,Scienze e tecnologie forestali ed ambientali,F,117
274,2022/2023,Laurea Magistrale - dm 270/04,LM-07,Biotecnologie agrarie,M,116
275,2022/2023,Laurea Magistrale - dm 270/04,LM-34,Ingegneria navale,M,112
276,2022/2023,Laurea Magistrale - dm 270/04,LM-28,Ingegneria elettrica,F,110
277,2022/2023,Laurea Magistrale - dm 270/04,LM/DS,Scienze della difesa e della sicurezza,F,107
278,2022/2023,Laurea - dm 270/04,L-43,Diagnostica per la conservazione dei beni culturali,F,104
279,2022/2023,Laurea Magistrale - dm 270/04,LM-53,Ingegneria dei materiali,F,101
280,2022/2023,Laurea Magistrale - dm 270/04,LM-80,Scienze geografiche,M,96
281,2022/2023,Laurea Magistrale - dm 270/04,LM-83,Scienze statistiche attuariali e finanziarie,F,94
282,2022/2023,Laurea Magistrale - dm 270/04,LM-43,Metodologie informatiche per le discipline umanistiche,M,93
283,2022/2023,Laurea Magistrale - dm 270/04,LM-50,Programmazione e gestione dei servizi educativi,M,91
284,2022/2023,Laurea Magistrale - dm 270/04,LM-55,Scienze cognitive,M,90
285,2022/2023,Laurea Magistrale - dm 270/04,LM/SNT4,Scienze delle professioni sanitarie della prevenzione,M,90
286,2022/2023,Laurea Magistrale - dm 270/04,LM-03,Architettura del paesaggio,M,89
287,2022/2023,Laurea Magistrale - dm 270/04,LM-45,Musicologia e beni musicali,M,89
288,2022/2023,Laurea Magistrale - dm 270/04,LM-80,Scienze geografiche,F,87
289,2022/2023,Laurea - dm 270/04,L-06,Geografia,M,85
290,2022/2023,Laurea Magistrale - dm 270/04,LM-64,Scienze delle religioni,M,79
291,2022/2023,Laurea - dm 270/04,L-P01,Professioni tecniche per l'edilizia e il territorio,F,79
292,2022/2023,Laurea - dm 270/04,L-28,Scienze e tecnologie della navigazione,F,77
