_id,AnnoA,CorsoTIPO,ClasseNUMERO,ClasseNOME,SESSO,Isc
1846,2017/2018,Laurea Magistrale - dm 270/04,LM-72,Scienze e tecnologie della navigazione,F,9
1847,2017/2018,Laurea Magistrale - dm 270/04,LM-93,Teorie e metodologie dell'e-learning e della media education,F,6
1848,2017/2018,Laurea Magistrale - dm 270/04,LM-93,Teorie e metodologie dell'e-learning e della media education,M,3
1849,2016/2017,Laurea - dm 270/04,L-18,Scienze dell'economia e della gestione aziendale,M,20214
1850,2016/2017,Laurea - dm 270/04,L-09,Ingegneria industriale,M,17748
1851,2016/2017,Laurea - dm 270/04,L-18,Scienze dell'economia e della gestione aziendale,F,14953
1852,2016/2017,Laurea - dm 270/04,L-08,Ingegneria dell'informazione,M,11994
1853,2016/2017,Laurea - dm 270/04,L-19,Scienze dell'educazione e della formazione,F,11924
1854,2016/2017,Laurea Magistrale a Ciclo Unico - dm 270/04,LMG/01,Magistrali in giurisprudenza,F,11434
1855,2016/2017,Laurea - dm 270/04,L-11,Lingue e culture moderne,F,11287
1856,2016/2017,Laurea - dm 270/04,L/SNT1,"Professioni sanitarie, infermieristiche e professione sanitaria ostetrica",F,10814
1857,2016/2017,Laurea - dm 270/04,L-24,Scienze e tecniche psicologiche,F,8793
1858,2016/2017,Laurea Magistrale - dm 270/04,LM-77,Scienze economico-aziendali,M,8559
1859,2016/2017,Laurea Magistrale - dm 270/04,LM-77,Scienze economico-aziendali,F,8136
1860,2016/2017,Laurea - dm 270/04,L-12,Mediazione linguistica,F,7780
1861,2016/2017,Laurea Magistrale a Ciclo Unico - dm 270/04,LMG/01,Magistrali in giurisprudenza,M,7537
1862,2016/2017,Laurea - dm 270/04,L-22,Scienze delle attività motorie e sportive,M,7389
1863,2016/2017,Laurea - dm 270/04,L-20,Scienze della comunicazione,F,6925
1864,2016/2017,Laurea - dm 270/04,L-33,Scienze economiche,M,6739
1865,2016/2017,Laurea - dm 270/04,L-31,Scienze e tecnologie informatiche,M,6725
1866,2016/2017,Laurea Magistrale - dm 270/04,LM-51,Psicologia,F,6277
1867,2016/2017,Laurea - dm 270/04,L-36,Scienze politiche e delle relazioni internazionali,M,6200
1868,2016/2017,Laurea - dm 270/04,L-10,Lettere,F,6163
1869,2016/2017,Laurea - dm 270/04,L-13,Scienze biologiche,F,5687
1870,2016/2017,Laurea Magistrale a Ciclo Unico - dm 270/04,LM-13ante22,Farmacia e farmacia industriale,F,5451
1871,2016/2017,Laurea Magistrale a Ciclo Unico - dm 270/04,LM-41,Medicina e chirurgia,F,5338
1872,2016/2017,Laurea - dm 270/04,L-36,Scienze politiche e delle relazioni internazionali,F,5159
1873,2016/2017,Laurea - dm 270/04,L-09,Ingegneria industriale,F,4953
1874,2016/2017,Laurea Magistrale a Ciclo Unico - dm 270/04,LM-85 bis,Scienze della formazione primaria,F,4753
1875,2016/2017,Laurea - dm 270/04,L-33,Scienze economiche,F,4421
1876,2016/2017,Laurea - dm 270/04,L-01,Beni culturali,F,4273
1877,2016/2017,Laurea - dm 270/04,L-20,Scienze della comunicazione,M,4247
1878,2016/2017,Laurea Magistrale a Ciclo Unico - dm 270/04,LM-41,Medicina e chirurgia,M,4152
1879,2016/2017,Laurea - dm 270/04,L-07,Ingegneria civile e ambientale,M,3887
1880,2016/2017,Laurea - dm 270/04,L/SNT1,"Professioni sanitarie, infermieristiche e professione sanitaria ostetrica",M,3739
1881,2016/2017,Laurea - dm 270/04,L-02,Biotecnologie,F,3738
1882,2016/2017,Laurea Magistrale - dm 270/04,LM-33,Ingegneria meccanica,M,3484
1883,2016/2017,Laurea - dm 270/04,L-39,Servizio sociale,F,3229
1884,2016/2017,Laurea - dm 270/04,L-08,Ingegneria dell'informazione,F,3195
1885,2016/2017,Laurea - dm 270/04,L-25,Scienze e tecnologie agrarie e forestali,M,3098
1886,2016/2017,Laurea - dm 270/04,L-14,Scienze dei servizi giuridici,F,3092
1887,2016/2017,Laurea - dm 270/04,L-22,Scienze delle attività motorie e sportive,F,3018
1888,2016/2017,Laurea - dm 270/04,L-11,Lingue e culture moderne,M,2974
1889,2016/2017,Laurea - dm 270/04,L/SNT2,Professioni sanitarie della riabilitazione,F,2946
1890,2016/2017,Laurea - dm 270/04,L-24,Scienze e tecniche psicologiche,M,2708
1891,2016/2017,Laurea - dm 270/04,L-30,Scienze e tecnologie fisiche,M,2638
1892,2016/2017,Laurea - dm 270/04,L-10,Lettere,M,2614
1893,2016/2017,Laurea Magistrale - dm 270/04,LM-06,Biologia,F,2609
1894,2016/2017,Laurea Magistrale - dm 270/04,LM-14,Filologia moderna,F,2510
1895,2016/2017,Laurea - dm 270/04,L-14,Scienze dei servizi giuridici,M,2464
1896,2016/2017,Laurea - dm 270/04,L-13,Scienze biologiche,M,2437
1897,2016/2017,Laurea Magistrale - dm 270/04,LM-56,Scienze dell'economia,M,2290
1898,2016/2017,Laurea - dm 270/04,L-40,Sociologia,F,2171
1899,2016/2017,Laurea Magistrale - dm 270/04,LM-37,Lingue e letterature moderne europee e americane,F,2156
1900,2016/2017,Laurea Magistrale a Ciclo Unico - dm 270/04,LM-13ante22,Farmacia e farmacia industriale,M,2142
1901,2016/2017,Laurea Magistrale - dm 270/04,LM-85,Scienze pedagogiche,F,2137
1902,2016/2017,Laurea - dm 270/04,L-03,"Discipline delle arti figurative, della musica, dello spettacolo e della moda",F,2099
1903,2016/2017,Laurea - dm 270/04,L-27,Scienze e tecnologie chimiche,M,2088
1904,2016/2017,Laurea Magistrale - dm 270/04,LM-23,Ingegneria civile,M,2062
1905,2016/2017,Laurea Magistrale - dm 270/04,LM-31,Ingegneria gestionale,M,2058
1906,2016/2017,Laurea - dm 270/04,L-02,Biotecnologie,M,2051
1907,2016/2017,Laurea Magistrale - dm 270/04,LM-38,Lingue moderne per la comunicazione e la cooperazione internazionale,F,2005
1908,2016/2017,Laurea - dm 270/04,L-05,Filosofia,M,1995
1909,2016/2017,Laurea Magistrale - dm 270/04,LM-32,Ingegneria informatica,M,1983
1910,2016/2017,Laurea - dm 270/04,L/SNT3,Professioni sanitarie tecniche,F,1934
1911,2016/2017,Laurea - dm 270/04,L-05,Filosofia,F,1914
1912,2016/2017,Laurea - dm 270/04,L-15,Scienze del turismo,F,1891
1913,2016/2017,Laurea - dm 270/04,L-27,Scienze e tecnologie chimiche,F,1888
1914,2016/2017,Laurea - dm 270/04,L-26,Scienze e tecnologie alimentari,F,1829
1915,2016/2017,Laurea - dm 270/04,L-04,Disegno industriale,F,1828
1916,2016/2017,Laurea - dm 270/04,L-26,Scienze e tecnologie alimentari,M,1780
1917,2016/2017,Laurea Magistrale - dm 270/04,LM-56,Scienze dell'economia,F,1776
1918,2016/2017,Laurea - dm 270/04,L-12,Mediazione linguistica,M,1756
1919,2016/2017,Laurea - dm 270/04,L-17,Scienze dell'architettura,F,1729
1920,2016/2017,Laurea Magistrale - dm 270/04,LM-04,Architettura e ingegneria edile-architettura,F,1720
1921,2016/2017,Laurea - dm 270/04,L-32,Scienze e tecnologie per l'ambiente e la natura,F,1709
1922,2016/2017,Laurea - dm 270/04,L/SNT2,Professioni sanitarie della riabilitazione,M,1689
1923,2016/2017,Laurea - dm 270/04,L-29,Scienze e tecnologie farmaceutiche,F,1647
1924,2016/2017,Laurea Magistrale a Ciclo Unico - dm 270/04,LM-04cu,Architettura e ingegneria edile-architettura (quinquennale),F,1594
1925,2016/2017,Laurea - dm 270/04,L-42,Storia,M,1512
1926,2016/2017,Laurea - dm 270/04,L-01,Beni culturali,M,1488
1927,2016/2017,Laurea Magistrale - dm 270/04,LM-51,Psicologia,M,1472
1928,2016/2017,Laurea Magistrale - dm 270/04,LM-52,Relazioni internazionali,F,1467
1929,2016/2017,Laurea - dm 270/04,L-32,Scienze e tecnologie per l'ambiente e la natura,M,1464
1930,2016/2017,Laurea Magistrale - dm 270/04,LM-87,Servizio sociale e politiche sociali,F,1462
1931,2016/2017,Laurea - dm 270/04,L-35,Scienze matematiche,M,1415
1932,2016/2017,Laurea - dm 270/04,L-19,Scienze dell'educazione e della formazione,M,1370
1933,2016/2017,Laurea - dm 270/04,L-38,Scienze zootecniche e tecnologie delle produzioni animali,F,1352
1934,2016/2017,Laurea Magistrale - dm 270/04,LM-04,Architettura e ingegneria edile-architettura,M,1350
1935,2016/2017,Laurea - dm 270/04,L-35,Scienze matematiche,F,1339
1936,2016/2017,Laurea - dm 270/04,L-17,Scienze dell'architettura,M,1332
1937,2016/2017,Laurea - dm 270/04,L-07,Ingegneria civile e ambientale,F,1297
1938,2016/2017,Laurea - dm 270/04,L-04,Disegno industriale,M,1286
1939,2016/2017,Laurea Magistrale - dm 270/04,LM-89,Storia dell'arte,F,1276
1940,2016/2017,Laurea Magistrale - dm 270/04,LM-31,Ingegneria gestionale,F,1252
1941,2016/2017,Laurea - dm 270/04,L/SNT3,Professioni sanitarie tecniche,M,1252
1942,2016/2017,Laurea - dm 270/04,L-30,Scienze e tecnologie fisiche,F,1221
1943,2016/2017,Laurea - dm 270/04,L-25,Scienze e tecnologie agrarie e forestali,F,1209
1944,2016/2017,Laurea Magistrale - dm 270/04,LM-59,"Scienze della comunicazione pubblica, d'impresa e pubblicità",F,1204
1945,2016/2017,Laurea - dm 270/04,L-03,"Discipline delle arti figurative, della musica, dello spettacolo e della moda",M,1201
1946,2016/2017,Laurea Magistrale a Ciclo Unico - dm 270/04,LM-04cu,Architettura e ingegneria edile-architettura (quinquennale),M,1195
1947,2016/2017,Laurea Magistrale - dm 270/04,LM-61,Scienze della nutrizione umana,F,1137
1948,2016/2017,Laurea - dm 270/04,L-16,Scienze dell'amministrazione e dell'organizzazione,F,1124
1949,2016/2017,Laurea Magistrale - dm 270/04,LM-09,"Biotecnologie mediche, veterinarie e farmaceutiche",F,1112
1950,2016/2017,Laurea - dm 270/04,L-16,Scienze dell'amministrazione e dell'organizzazione,M,1098
1951,2016/2017,Laurea Magistrale - dm 270/04,LM-52,Relazioni internazionali,M,1060
1952,2016/2017,Laurea - dm 270/04,L-31,Scienze e tecnologie informatiche,F,1041
1953,2016/2017,Laurea Magistrale - dm 270/04,LM-67,Scienze e tecniche delle attività motorie preventive e adattate,M,1017
1954,2016/2017,Laurea Magistrale - dm 270/04,LM-18,Informatica,M,994
1955,2016/2017,Laurea Magistrale - dm 270/04,LM-06,Biologia,M,990
1956,2016/2017,Laurea - dm 270/04,L-40,Sociologia,M,973
1957,2016/2017,Laurea Magistrale - dm 270/04,LM-30,Ingegneria energetica e nucleare,M,916
1958,2016/2017,Laurea Magistrale - dm 270/04,LM-29,Ingegneria elettronica,M,897
1959,2016/2017,Laurea Magistrale - dm 270/04,LM-67,Scienze e tecniche delle attività motorie preventive e adattate,F,891
1960,2016/2017,Laurea - dm 270/04,L-42,Storia,F,879
1961,2016/2017,Laurea Magistrale - dm 270/04,LM-50,Programmazione e gestione dei servizi educativi,F,864
1962,2016/2017,Laurea Magistrale - dm 270/04,LM-17,Fisica,M,855
1963,2016/2017,Laurea Magistrale - dm 270/04,LM-63,Scienze delle pubbliche amministrazioni,F,836
1964,2016/2017,Laurea - dm 270/04,L-34,Scienze geologiche,M,834
1965,2016/2017,Laurea Magistrale - dm 270/04,LM/SNT1,Scienze infermieristiche e ostetriche,F,830
1966,2016/2017,Laurea Magistrale - dm 270/04,LM-14,Filologia moderna,M,830
1967,2016/2017,Laurea Magistrale - dm 270/04,LM-23,Ingegneria civile,F,824
1968,2016/2017,Laurea Magistrale - dm 270/04,LM-20,Ingegneria aerospaziale e astronautica,M,820
1969,2016/2017,Laurea Magistrale - dm 270/04,LM-94,Traduzione specialistica e interpretariato,F,800
1970,2016/2017,Laurea Magistrale - dm 270/04,LM-21,Ingegneria biomedica,F,794
1971,2016/2017,Laurea Magistrale - dm 270/04,LM-78,Scienze filosofiche,F,783
1972,2016/2017,Laurea Magistrale - dm 270/04,LM-78,Scienze filosofiche,M,782
1973,2016/2017,Laurea - dm 270/04,L-15,Scienze del turismo,M,778
1974,2016/2017,Laurea - dm 270/04,L-41,Statistica,M,727
1975,2016/2017,Laurea Magistrale - dm 270/04,LM-84,Scienze storiche,M,704
1976,2016/2017,Laurea Magistrale - dm 270/04,LM-12,Design,F,704
1977,2016/2017,Laurea Magistrale - dm 270/04,LM-69,Scienze e tecnologie agrarie,M,701
1978,2016/2017,Laurea Magistrale - dm 270/04,LM-68,Scienze e tecniche dello sport,M,696
1979,2016/2017,Laurea Magistrale - dm 270/04,LM-70,Scienze e tecnologie alimentari,F,662
1980,2016/2017,Laurea Magistrale - dm 270/04,LM-16,Finanza,M,662
1981,2016/2017,Laurea Magistrale - dm 270/04,LM-25,Ingegneria dell'automazione,M,651
1982,2016/2017,Laurea - dm 270/04,L-29,Scienze e tecnologie farmaceutiche,M,651
1983,2016/2017,Laurea Magistrale - dm 270/04,LM-26,Ingegneria della sicurezza,M,626
1984,2016/2017,Laurea Magistrale - dm 270/04,LM-88,Sociologia e ricerca sociale,F,625
1985,2016/2017,Laurea Magistrale - dm 270/04,LM-35,Ingegneria per l'ambiente e il territorio,M,624
1986,2016/2017,Laurea Magistrale - dm 270/04,LM-24,Ingegneria dei sistemi edilizi,M,623
1987,2016/2017,Laurea - dm 270/04,L-38,Scienze zootecniche e tecnologie delle produzioni animali,M,598
1988,2016/2017,Laurea - dm 270/04,L-23,Scienze e tecniche dell'edilizia,M,597
1989,2016/2017,Laurea Magistrale - dm 270/04,LM-63,Scienze delle pubbliche amministrazioni,M,586
1990,2016/2017,Laurea Magistrale - dm 270/04,LM-19,Informazione e sistemi editoriali,F,585
1991,2016/2017,Laurea Magistrale - dm 270/04,LM-21,Ingegneria biomedica,M,583
1992,2016/2017,Laurea Magistrale - dm 270/04,LM-02,Archeologia,F,575
1993,2016/2017,Laurea Magistrale - dm 270/04,LM-28,Ingegneria elettrica,M,574
1994,2016/2017,Laurea Magistrale - dm 270/04,LM-40,Matematica,F,572
1995,2016/2017,Laurea Magistrale - dm 270/04,LM-40,Matematica,M,559
1996,2016/2017,Laurea Magistrale - dm 270/04,LM-54,Scienze chimiche,M,558
1997,2016/2017,Laurea Magistrale - dm 270/04,LM-54,Scienze chimiche,F,552
1998,2016/2017,Laurea Magistrale - dm 270/04,LM-57,Scienze dell'educazione degli adulti e della formazione continua,F,539
1999,2016/2017,Laurea Magistrale - dm 270/04,LM-59,"Scienze della comunicazione pubblica, d'impresa e pubblicità",M,538
2000,2016/2017,Laurea Magistrale - dm 270/04,LM-62,Scienze della politica,F,537
2001,2016/2017,Laurea Magistrale - dm 270/04,LM-62,Scienze della politica,M,527
2002,2016/2017,Laurea Magistrale - dm 270/04,LM-15,"Filologia, letterature e storia dell'antichità",F,516
2003,2016/2017,Laurea Magistrale - dm 270/04,LM-27,Ingegneria delle telecomunicazioni,M,509
2004,2016/2017,Laurea Magistrale - dm 270/04,LM-65,Scienze dello spettacolo e produzione multimediale,F,499
2005,2016/2017,Laurea Magistrale a Ciclo Unico - dm 270/04,LM-42,Medicina veterinaria,F,495
2006,2016/2017,Laurea Magistrale - dm 270/04,LM-74,Scienze e tecnologie geologiche,M,491
2007,2016/2017,Laurea Magistrale - dm 270/04,LM-22,Ingegneria chimica,M,482
2008,2016/2017,Laurea Magistrale - dm 270/04,LM-81,Scienze per la cooperazione allo sviluppo,F,479
2009,2016/2017,Laurea - dm 270/04,L-37,"Scienze sociali per la cooperazione, lo sviluppo e la pace",F,479
2010,2016/2017,Laurea Magistrale - dm 270/04,LM-39,Linguistica,F,478
2011,2016/2017,Laurea Magistrale - dm 270/04,LM-09,"Biotecnologie mediche, veterinarie e farmaceutiche",M,477
2012,2016/2017,Laurea Magistrale - dm 270/04,LM-84,Scienze storiche,F,476
2013,2016/2017,Laurea Magistrale - dm 270/04,LM-24,Ingegneria dei sistemi edilizi,F,469
2014,2016/2017,Laurea Magistrale - dm 270/04,LM-92,Teorie della comunicazione,F,461
2015,2016/2017,Laurea Magistrale - dm 270/04,LM-35,Ingegneria per l'ambiente e il territorio,F,450
2016,2016/2017,Laurea - dm 270/04,L-41,Statistica,F,447
2017,2016/2017,Laurea Magistrale - dm 270/04,LM-33,Ingegneria meccanica,F,445
2018,2016/2017,Laurea Magistrale a Ciclo Unico - dm 270/04,LM-46,Odontoiatria e protesi dentaria,F,445
2019,2016/2017,Laurea - dm 270/04,L/SNT4,Professioni sanitarie della prevenzione,F,440
2020,2016/2017,Laurea Magistrale - dm 270/04,LM-61,Scienze della nutrizione umana,M,431
2021,2016/2017,Laurea - dm 270/04,L-34,Scienze geologiche,F,425
2022,2016/2017,Laurea Magistrale - dm 270/04,LM-49,Progettazione e gestione dei sistemi turistici,F,413
2023,2016/2017,Laurea Magistrale - dm 270/04,LM-53ante21,Scienza e ingegneria dei materiali,M,411
2024,2016/2017,Laurea Magistrale a Ciclo Unico - dm 270/04,LM-46,Odontoiatria e protesi dentaria,M,409
2025,2016/2017,Laurea - dm 270/04,L-39,Servizio sociale,M,408
2026,2016/2017,Laurea Magistrale - dm 270/04,LM-12,Design,M,404
2027,2016/2017,Laurea Magistrale - dm 270/04,LM-37,Lingue e letterature moderne europee e americane,M,401
2028,2016/2017,Laurea Magistrale - dm 270/04,LM-70,Scienze e tecnologie alimentari,M,397
2029,2016/2017,Laurea Specialistica - dm 509/99,DS1/S,Specialistiche nelle scienze della difesa e della sicurezza,M,391
2030,2016/2017,Laurea Magistrale - dm 270/04,LM/SNT2,Scienze riabilitative delle professioni sanitarie,F,386
2031,2016/2017,Laurea - dm 270/04,L/SNT4,Professioni sanitarie della prevenzione,M,380
2032,2016/2017,Laurea Magistrale - dm 270/04,LM-76,Scienze economiche per l'ambiente e la cultura,F,364
2033,2016/2017,Laurea - dm 270/04,L-23,Scienze e tecniche dell'edilizia,F,358
2034,2016/2017,Laurea Magistrale - dm 270/04,LM-22,Ingegneria chimica,F,351
2035,2016/2017,Laurea Magistrale - dm 270/04,LM-38,Lingue moderne per la comunicazione e la cooperazione internazionale,M,347
2036,2016/2017,Laurea Magistrale - dm 270/04,LM-16,Finanza,F,332
2037,2016/2017,Laurea Magistrale - dm 270/04,LM-32,Ingegneria informatica,F,321
2038,2016/2017,Laurea Magistrale - dm 270/04,LM-17,Fisica,F,320
2039,2016/2017,Laurea Magistrale - dm 270/04,LM-69,Scienze e tecnologie agrarie,F,317
2040,2016/2017,Laurea - dm 270/04,L-37,"Scienze sociali per la cooperazione, lo sviluppo e la pace",M,316
2041,2016/2017,Laurea Magistrale a Ciclo Unico - dm 270/04,LM-85 bis,Scienze della formazione primaria,M,313
2042,2016/2017,Laurea Magistrale - dm 270/04,LM-01,Antropologia culturale ed etnologia,F,311
2043,2016/2017,Laurea - dm 270/04,L-21,"Scienze della pianificazione territoriale, urbanistica, paesaggistica e ambientale",M,295
2044,2016/2017,Laurea Magistrale - dm 270/04,LM/SNT1,Scienze infermieristiche e ostetriche,M,286
2045,2016/2017,Laurea Magistrale - dm 270/04,LM-82,Scienze statistiche,M,281
2046,2016/2017,Laurea Magistrale - dm 270/04,LM-65,Scienze dello spettacolo e produzione multimediale,M,280
2047,2016/2017,Laurea Magistrale - dm 270/04,LM-74,Scienze e tecnologie geologiche,F,275
2048,2016/2017,Laurea Magistrale - dm 270/04,LM-89,Storia dell'arte,M,274
2049,2016/2017,Laurea Magistrale - dm 270/04,LM-88,Sociologia e ricerca sociale,M,272
2050,2016/2017,Laurea Magistrale - dm 270/04,LM-82,Scienze statistiche,F,265
2051,2016/2017,Laurea Magistrale - dm 270/04,LM-02,Archeologia,M,261
2052,2016/2017,Laurea Magistrale - dm 270/04,LM-08,Biotecnologie industriali,F,259
2053,2016/2017,Laurea Magistrale - dm 270/04,LM-36,Lingue e letterature dell'Africa e dell'Asia,F,253
2054,2016/2017,Laurea Magistrale - dm 270/04,LM-19,Informazione e sistemi editoriali,M,252
2055,2016/2017,Laurea Magistrale - dm 270/04,LM-68,Scienze e tecniche dello sport,F,250
2056,2016/2017,Laurea  - dm 509/99,DS1,Scienze della difesa e della sicurezza,M,245
2057,2016/2017,Laurea Magistrale - dm 270/04,LM-30,Ingegneria energetica e nucleare,F,236
2058,2016/2017,Laurea Magistrale - dm 270/04,LM-75,Scienze e tecnologie per l'ambiente e il territorio,M,234
2059,2016/2017,Laurea Magistrale - dm 270/04,LM-73,Scienze e tecnologie forestali ed ambientali,M,232
2060,2016/2017,Laurea Magistrale - dm 270/04,LM-75,Scienze e tecnologie per l'ambiente e il territorio,F,229
2061,2016/2017,Laurea Magistrale - dm 270/04,LM-44,Modellistica matematico-fisica per l'ingegneria,M,221
2062,2016/2017,Laurea - dm 270/04,L-28,Scienze e tecnologie della navigazione,M,221
2063,2016/2017,Laurea Magistrale - dm 270/04,LM-71,Scienze e tecnologie della chimica industriale,M,213
2064,2016/2017,Laurea Magistrale - dm 270/04,LM-81,Scienze per la cooperazione allo sviluppo,M,209
2065,2016/2017,Laurea Magistrale - dm 270/04,LM-18,Informatica,F,208
2066,2016/2017,Laurea Magistrale - dm 270/04,LM/SNT3,Scienze delle professioni sanitarie tecniche,F,207
2067,2016/2017,Laurea - dm 270/04,L-21,"Scienze della pianificazione territoriale, urbanistica, paesaggistica e ambientale",F,205
2068,2016/2017,Laurea Magistrale - dm 270/04,LM-08,Biotecnologie industriali,M,199
2069,2016/2017,Laurea Magistrale - dm 270/04,LM-83,Scienze statistiche attuariali e finanziarie,M,198
2070,2016/2017,Laurea Magistrale - dm 270/04,LM-92,Teorie della comunicazione,M,197
2071,2016/2017,Laurea Magistrale - dm 270/04,LM-85,Scienze pedagogiche,M,193
2072,2016/2017,Laurea Magistrale - dm 270/04,LM-15,"Filologia, letterature e storia dell'antichità",M,186
2073,2016/2017,Laurea Magistrale - dm 270/04,LM-60,Scienze della natura,F,179
2074,2016/2017,Laurea Magistrale - dm 270/04,LM-86,Scienze zootecniche e tecnologie  animali,F,179
2075,2016/2017,Laurea Magistrale a Ciclo Unico - dm 270/04,LM-42,Medicina veterinaria,M,167
2076,2016/2017,Laurea Magistrale - dm 270/04,LM-53ante21,Scienza e ingegneria dei materiali,F,167
2077,2016/2017,Laurea - dm 270/04,L-43,Diagnostica per la conservazione dei beni culturali,F,161
2078,2016/2017,Laurea Magistrale - dm 270/04,LM-48,Pianificazione territoriale urbanistica e ambientale,F,153
2079,2016/2017,Laurea Magistrale - dm 270/04,LM-29,Ingegneria elettronica,F,153
2080,2016/2017,Laurea Magistrale - dm 270/04,LM-01,Antropologia culturale ed etnologia,M,149
2081,2016/2017,Laurea Magistrale - dm 270/04,LM-49,Progettazione e gestione dei sistemi turistici,M,148
2082,2016/2017,Laurea Magistrale - dm 270/04,LM-87,Servizio sociale e politiche sociali,M,145
2083,2016/2017,Laurea Magistrale - dm 270/04,LM-20,Ingegneria aerospaziale e astronautica,F,144
2084,2016/2017,Laurea Magistrale - dm 270/04,LM/SNT3,Scienze delle professioni sanitarie tecniche,M,144
2085,2016/2017,Laurea Magistrale - dm 270/04,LM-94,Traduzione specialistica e interpretariato,M,142
2086,2016/2017,Laurea Magistrale - dm 270/04,LM/SNT2,Scienze riabilitative delle professioni sanitarie,M,140
2087,2016/2017,Laurea - dm 270/04,L-06,Geografia,M,136
2088,2016/2017,Laurea Magistrale - dm 270/04,LM-27,Ingegneria delle telecomunicazioni,F,135
2089,2016/2017,Laurea - dm 270/04,L/DS,Scienze della difesa e della sicurezza,M,134
2090,2016/2017,Laurea Magistrale - dm 270/04,LM-73,Scienze e tecnologie forestali ed ambientali,F,128
2091,2016/2017,Laurea Magistrale - dm 270/04,LM/SNT4,Scienze delle professioni sanitarie della prevenzione,M,124
2092,2016/2017,Laurea - dm 270/04,L-06,Geografia,F,123
2093,2016/2017,Laurea Magistrale - dm 270/04,LM-39,Linguistica,M,122
2094,2016/2017,Laurea Magistrale - dm 270/04,LM-48,Pianificazione territoriale urbanistica e ambientale,M,121
2095,2016/2017,Laurea Magistrale - dm 270/04,LM-34,Ingegneria navale,M,121
2096,2016/2017,Laurea Magistrale - dm 270/04,LM-83,Scienze statistiche attuariali e finanziarie,F,121
2097,2016/2017,Laurea Magistrale - dm 270/04,LM-86,Scienze zootecniche e tecnologie  animali,M,120
2098,2016/2017,Laurea Magistrale - dm 270/04,LM/SNT4,Scienze delle professioni sanitarie della prevenzione,F,119
2099,2016/2017,Laurea Magistrale - dm 270/04,LM-47,Organizzazione e gestione dei servizi per lo sport e le attività motorie,M,118
2100,2016/2017,Laurea Magistrale - dm 270/04,LM-71,Scienze e tecnologie della chimica industriale,F,117
2101,2016/2017,Laurea Magistrale - dm 270/04,LM-25,Ingegneria dell'automazione,F,114
2102,2016/2017,Laurea Magistrale - dm 270/04,LM-60,Scienze della natura,M,113
2103,2016/2017,Laurea Magistrale - dm 270/04,LM-07,Biotecnologie agrarie,F,110
2104,2016/2017,Laurea Magistrale - dm 270/04,LM-76,Scienze economiche per l'ambiente e la cultura,M,110
2105,2016/2017,Laurea Magistrale - dm 270/04,LM-45,Musicologia e beni musicali,F,109
2106,2016/2017,Laurea Magistrale - dm 270/04,LM-44,Modellistica matematico-fisica per l'ingegneria,F,106
2107,2016/2017,Laurea Magistrale - dm 270/04,LM-05,Archivistica e biblioteconomia,F,105
2108,2016/2017,Laurea Magistrale - dm 270/04,LM-90,Studi europei,F,103
2109,2016/2017,Laurea Magistrale - dm 270/04,LM-26,Ingegneria della sicurezza,F,99
2110,2016/2017,Laurea Magistrale - dm 270/04,LM-55,Scienze cognitive,F,96
2111,2016/2017,Laurea Magistrale - dm 270/04,LM-90,Studi europei,M,95
2112,2016/2017,Laurea Magistrale - dm 270/04,LM-11,Scienze per la conservazione dei beni culturali,F,90
2113,2016/2017,Laurea Magistrale - dm 270/04,LM-28,Ingegneria elettrica,F,86
2114,2016/2017,Laurea Magistrale - dm 270/04,LM-45,Musicologia e beni musicali,M,84
2115,2016/2017,Laurea Magistrale a Ciclo Unico - dm 270/04,LMR/02,Conservazione e restauro dei beni culturali,F,80
2116,2016/2017,Laurea Magistrale - dm 270/04,LM-03,Architettura del paesaggio,F,76
2117,2016/2017,Laurea Magistrale - dm 270/04,LM-57,Scienze dell'educazione degli adulti e della formazione continua,M,70
2118,2016/2017,Laurea  - dm 509/99,DS1,Scienze della difesa e della sicurezza,F,68
2119,2016/2017,Laurea Magistrale - dm 270/04,LM-07,Biotecnologie agrarie,M,67
2120,2016/2017,Laurea Magistrale - dm 270/04,LM-50,Programmazione e gestione dei servizi educativi,M,66
2121,2016/2017,Laurea Magistrale - dm 270/04,LM-58,Scienze dell'universo,M,65
2122,2016/2017,Laurea - dm 270/04,L/DS,Scienze della difesa e della sicurezza,F,61
2123,2016/2017,Laurea Magistrale - dm 270/04,LM-03,Architettura del paesaggio,M,61
2124,2016/2017,Laurea Magistrale - dm 270/04,LM-47,Organizzazione e gestione dei servizi per lo sport e le attività motorie,F,58
2125,2016/2017,Laurea - dm 270/04,L-43,Diagnostica per la conservazione dei beni culturali,M,56
2126,2016/2017,Laurea Specialistica - dm 509/99,DS1/S,Specialistiche nelle scienze della difesa e della sicurezza,F,54
2127,2016/2017,Laurea Magistrale - dm 270/04,LM-36,Lingue e letterature dell'Africa e dell'Asia,M,51
2128,2016/2017,Laurea Magistrale - dm 270/04,LM-66,Sicurezza informatica,M,50
2129,2016/2017,Laurea Magistrale - dm 270/04,LM-58,Scienze dell'universo,F,47
2130,2016/2017,Laurea Magistrale - dm 270/04,LM-55,Scienze cognitive,M,46
2131,2016/2017,Laurea Magistrale - dm 270/04,LM-91,Tecniche e metodi per la societa dell'informazione,M,44
2132,2016/2017,Laurea Magistrale - dm 270/04,LM-43,Metodologie informatiche per le discipline umanistiche,F,43
2133,2016/2017,Laurea - dm 270/04,L-28,Scienze e tecnologie della navigazione,F,42
