DiplomaR,CorsoR,Iscritti
Veneto,Abruzzo,191
Veneto,Calabria,5
Veneto,Campania,107
Veneto,Emilia-Romagna,12809
Veneto,Friuli Venezia Giulia,6131
Veneto,Lazio,1461
Veneto,Liguria,113
Veneto,Lombardia,5724
Veneto,Marche,417
Veneto,Piemonte,852
Veneto,Puglia,16
Veneto,Sardegna,42
Veneto,Sicilia,54
Veneto,Toscana,1238
Veneto,Trentino-Alto Adige,4926
Veneto,Umbria,266
Veneto,Veneto,79994
